"","Zip","City","State","Latitude","Longitude","Timezone","Daylight.savings.time.flag","geopoint"
"1",71937,"Cove","AR",34.398483,-94.39398,-6,1,"34.398483,-94.39398"
"2",72044,"Edgemont","AR",35.624351,-92.16056,-6,1,"35.624351,-92.16056"
"3",56171,"Sherburn","MN",43.660847,-94.74357,-6,1,"43.660847,-94.74357"
"4",49430,"Lamont","MI",43.010337,-85.89754,-5,1,"43.010337,-85.89754"
"5",52585,"Richland","IA",41.194129,-91.98027,-6,1,"41.194129,-91.98027"
"6",47520,"Cannelton","IN",37.934311,-86.67821,-5,0,"37.934311,-86.67821"
"7",49464,"Zeeland","MI",42.829252,-85.99621,-5,1,"42.829252,-85.99621"
"8",49919,"Covington","MI",46.559834,-88.52201,-5,1,"46.559834,-88.52201"
"9",52401,"Cedar Rapids","IA",41.97545,-91.65912,-6,1,"41.97545,-91.65912"
"10",35979,"Higdon","AL",34.831242,-85.61564,-6,1,"34.831242,-85.61564"
"11",36350,"Midland City","AL",31.319083,-85.48718,-6,1,"31.319083,-85.48718"
"12",38401,"Columbia","TN",35.619784,-87.03565,-6,1,"35.619784,-87.03565"
"13",41065,"Muses Mills","KY",38.3481,-83.718626,-5,1,"38.3481,-83.718626"
"14",55302,"Annandale","MN",45.246631,-94.11692,-6,1,"45.246631,-94.11692"
"15",29607,"Greenville","SC",34.825592,-82.34099,-5,1,"34.825592,-82.34099"
"16",31150,"Atlanta","GA",33.844371,-84.47405,-5,1,"33.844371,-84.47405"
"17",31646,"Saint George","GA",30.518903,-82.08063,-5,1,"30.518903,-82.08063"
"18",31826,"Shiloh","GA",32.803518,-84.69384,-5,1,"32.803518,-84.69384"
"19",17932,"Frackville","PA",40.649109,-76.503339,-5,1,"40.649109,-76.503339"
"20",18947,"Pipersville","PA",40.426391,-75.11842,-5,1,"40.426391,-75.11842"
"21",20227,"Washington","DC",38.893311,-77.014647,-5,1,"38.893311,-77.014647"
"22",14043,"Depew","NY",42.904958,-78.7006,-5,1,"42.904958,-78.7006"
"23",15278,"Pittsburgh","PA",40.434436,-80.024817,-5,1,"40.434436,-80.024817"
"24",15482,"Star Junction","PA",40.062849,-79.76338,-5,1,"40.062849,-79.76338"
"25",33446,"Delray Beach","FL",26.452473,-80.16509,-5,1,"26.452473,-80.16509"
"26",27915,"Avon","NC",35.354252,-75.50417,-5,1,"35.354252,-75.50417"
"27",23328,"Chesapeake","VA",36.7085,-76.278531,-5,1,"36.7085,-76.278531"
"28",24062,"Blacksburg","VA",37.174227,-80.395698,-5,1,"37.174227,-80.395698"
"29",26253,"Beverly","WV",38.827205,-79.89057,-5,1,"38.827205,-79.89057"
"30",2472,"Watertown","MA",42.371296,-71.18196,-5,1,"42.371296,-71.18196"
"31",7309,"Jersey City","NJ",40.73276,-74.075485,-5,1,"40.73276,-74.075485"
"32",623,"Cabo Rojo","PR",18.08643,-67.15222,-4,0,"18.08643,-67.15222"
"33",52163,"Protivin","IA",43.21661,-92.09219,-6,1,"43.21661,-92.09219"
"34",52216,"Clarence","IA",41.888182,-91.04567,-6,1,"41.888182,-91.04567"
"35",53031,"Hingham","WI",43.639395,-87.915705,-6,1,"43.639395,-87.915705"
"36",60651,"Chicago","IL",41.901485,-87.74055,-6,1,"41.901485,-87.74055"
"37",62090,"Venice","IL",38.67065,-90.17052,-6,1,"38.67065,-90.17052"
"38",62420,"Casey","IL",39.299447,-87.99863,-6,1,"39.299447,-87.99863"
"39",64503,"Saint Joseph","MO",39.741794,-94.83237,-6,1,"39.741794,-94.83237"
"40",65325,"Cole Camp","MO",38.451021,-93.19156,-6,1,"38.451021,-93.19156"
"41",65638,"Drury","MO",36.851944,-92.33081,-6,1,"36.851944,-92.33081"
"42",74801,"Shawnee","OK",35.327341,-96.93544,-6,1,"35.327341,-96.93544"
"43",75475,"Randolph","TX",33.485315,-96.25525,-6,1,"33.485315,-96.25525"
"44",75757,"Bullard","TX",32.136787,-95.3671,-6,1,"32.136787,-95.3671"
"45",63179,"Saint Louis","MO",38.6531,-90.243462,-6,1,"38.6531,-90.243462"
"46",63436,"Center","MO",39.501697,-91.5367,-6,1,"39.501697,-91.5367"
"47",57440,"Frankfort","SD",44.857069,-98.27191,-6,1,"44.857069,-98.27191"
"48",72112,"Newport","AR",35.586065,-91.24695,-6,1,"35.586065,-91.24695"
"49",72714,"Bella Vista","AR",36.458041,-94.23551,-6,1,"36.458041,-94.23551"
"50",99671,"Stebbins","AK",63.511893,-162.27463,-9,1,"63.511893,-162.27463"
"51",97304,"Salem","OR",44.970181,-123.08033,-8,1,"44.970181,-123.08033"
"52",97414,"Broadbent","OR",42.977978,-124.1716,-8,1,"42.977978,-124.1716"
"53",81148,"Romeo","CO",37.171583,-105.98648,-7,1,"37.171583,-105.98648"
"54",81423,"Norwood","CO",38.082231,-108.2586,-7,1,"38.082231,-108.2586"
"55",81505,"Grand Junction","CO",39.112514,-108.60506,-7,1,"39.112514,-108.60506"
